,filename,neg_portion,neu_portion,pos_portion,compound_score
1,the_tomb,0.117,0.799,0.084,-0.9995
2,dagon,0.095,0.836,0.069,-0.9968
3,polaris,0.13,0.767,0.103,-0.9889
4,beyond_the_wall_of_sleep,0.108,0.781,0.111,0.8094
5,memory,0.049,0.905,0.045,0.3612
6,old_bugs,0.093,0.782,0.125,0.9989
7,the_transition_of_juan_romero,0.101,0.821,0.079,-0.9962
8,the_white_ship,0.059,0.82,0.122,0.9996
9,the_doom_that_came_to_sarnath,0.078,0.826,0.096,0.9969
10,the_statement_of_randolph_carter,0.142,0.783,0.075,-0.9996
11,the_terrible_old_man,0.163,0.785,0.053,-0.9993
12,the_tree,0.121,0.714,0.164,0.9988
13,the_cats_of_ulthar,0.137,0.8,0.063,-0.999
14,the_temple,0.143,0.764,0.094,-0.9999
15,facts_concerning_the_late_arthur_jermyn_and_his_family,0.1,0.806,0.094,-0.9764
16,the_street,0.117,0.787,0.096,-0.9943
17,celephaïs,0.061,0.84,0.099,0.9989
18,from_beyond,0.121,0.802,0.077,-0.9995
19,nyarlathotep,0.164,0.789,0.047,-0.9994
20,the_picture_in_the_house,0.106,0.803,0.091,-0.9926
21,ex_oblivione,0.061,0.846,0.093,0.9709
22,the_nameless_city,0.114,0.812,0.074,-0.9997
23,the_quest_of_iranon,0.048,0.853,0.1,0.9995
24,the_moon-bog,0.124,0.793,0.083,-0.9994
25,the_outsider,0.136,0.773,0.091,-0.999
26,the_other_gods,0.099,0.803,0.097,0.8922
27,the_music_of_erich_zann,0.127,0.795,0.078,-0.9996
28,herbert_west_—_reanimator,0.135,0.752,0.113,-0.9999
29,hypnos,0.13,0.762,0.108,-0.9953
30,what_the_moon_brings,0.141,0.829,0.03,-0.9982
31,azathoth,0.092,0.838,0.069,-0.8801
32,the_hound,0.16,0.773,0.067,-0.9999
33,the_lurking_fear,0.161,0.774,0.065,-1.0
34,the_rats_in_the_walls,0.108,0.814,0.078,-0.9998
35,the_unnamable,0.11,0.824,0.066,-0.9995
36,the_festival,0.113,0.828,0.058,-0.9997
37,the_shunned_house,0.115,0.801,0.084,-0.9999
38,the_horror_at_red_hook,0.127,0.794,0.079,-0.9999
39,he,0.085,0.829,0.087,0.9732
40,in_the_vault,0.133,0.785,0.082,-0.9997
41,the_descendant,0.118,0.791,0.092,-0.9906
42,cool_air,0.116,0.796,0.088,-0.9989
43,the_call_of_cthulhu,0.113,0.788,0.1,-0.9997
44,pickman's_model,0.086,0.833,0.08,-0.9927
45,the_silver_key,0.107,0.788,0.105,0.7356
46,the_strange_high_house_in_the_mist,0.087,0.818,0.094,0.9887
47,the_dream-quest_of_unknown_kadath,0.096,0.808,0.096,0.9991
48,the_case_of_charles_dexter_ward,0.094,0.82,0.086,-0.9999
49,the_colour_out_of_space,0.116,0.813,0.071,-1.0
50,the_very_old_folk,0.12,0.811,0.069,-0.9994
51,the_thing_in_the_moonlight,0.082,0.885,0.033,-0.9905
52,the_history_of_the_necronomicon,0.07,0.88,0.05,-0.8765
53,ibid,0.069,0.861,0.07,-0.8038
54,the_dunwich_horror,0.106,0.825,0.069,-1.0
55,the_whisperer_in_darkness,0.087,0.82,0.093,0.9993
56,at_the_mountains_of_madness,0.096,0.815,0.089,-0.9999
57,the_shadow_over_innsmouth,0.1,0.826,0.074,-1.0
58,the_dreams_in_the_witch_house,0.106,0.829,0.066,-1.0
59,the_thing_on_the_doorstep,0.109,0.811,0.08,-0.9999
60,the_evil_clergyman,0.08,0.831,0.089,0.9637
61,the_book,0.088,0.838,0.075,-0.8896
62,the_shadow_out_of_time,0.1,0.8,0.099,-0.9944
63,the_haunter_of_the_dark,0.117,0.799,0.084,-0.9995
