filename,word_1,word_1_count,word_2,word_2_count,word_3,word_3_count,word_4,word_4_count,word_5,word_5_count
the_tomb,know,14,come,13,feel,8,tell,7,bear,7
dagon,know,7,shall,6,think,6,rise,6,find,4
polaris,save,6,sleep,5,watch,4,leer,4,convey,4
beyond_the_wall_of_sleep,come,9,know,9,wake,6,feel,6,give,5
memory,recall,3,forget,2,grow,2,crumble,2,wane,1
old_bugs,know,12,come,7,want,7,rise,5,remain,4
the_transition_of_juan_romero,come,8,hear,7,see,6,know,5,find,5
the_white_ship,come,12,see,10,sail,9,tell,9,know,8
the_doom_that_came_to_sarnath,come,7,know,6,see,6,find,5,stand,4
the_statement_of_randolph_carter,come,10,know,10,hear,9,tell,8,say,7
the_terrible_old_man,hear,4,talk,3,make,3,watch,3,see,3
the_tree,speak,6,stand,5,know,5,come,5,grow,4
the_cats_of_ulthar,take,5,find,5,hear,4,tell,4,see,4
the_temple,find,12,come,11,see,9,grow,8,know,7
facts_concerning_the_late_arthur_jermyn_and_his_family,hear,10,come,8,stuff,8,see,7,find,6
the_street,come,20,know,9,tell,6,go,6,grow,5
celephaïs,come,14,see,11,find,8,meet,7,sail,6
from_beyond,see,21,know,14,tell,11,feel,9,hear,7
nyarlathotep,see,6,tell,5,come,5,go,4,hear,4
the_picture_in_the_house,feel,7,look,7,come,6,tell,6,see,5
ex_oblivione,find,3,know,3,drive,2,fall,2,walk,2
the_nameless_city,see,30,come,14,know,13,think,12,hold,10
the_quest_of_iranon,sing,19,come,14,find,12,tell,10,shall,10
the_moon-bog,see,14,come,13,hear,12,know,10,tell,9
the_outsider,know,14,find,10,reach,8,try,7,see,7
the_other_gods,hear,10,grow,9,come,6,know,6,climb,6
the_music_of_erich_zann,hear,16,know,12,look,10,find,8,play,7
herbert_west_—_reanimator,come,24,know,18,think,18,see,17,inject,15
hypnos,know,8,see,8,come,7,say,5,tell,5
what_the_moon_brings,see,11,shine,4,bring,3,know,3,watch,3
azathoth,come,3,lean,3,go,2,dream,2,pass,2
the_hound,hear,12,know,7,hold,6,think,6,see,6
the_lurking_fear,come,22,know,21,find,18,lurk,17,leave,17
the_rats_in_the_walls,find,22,know,21,see,17,come,14,tell,12
the_unnamable,tell,14,know,12,see,8,come,8,leave,7
the_festival,see,24,hear,11,know,8,come,8,look,5
the_shunned_house,see,20,know,19,shun,18,die,13,bear,13
the_horror_at_red_hook,know,16,come,16,look,12,see,12,find,11
he,see,19,come,11,find,6,shew,6,keep,6
in_the_vault,begin,8,know,7,give,7,feel,5,wish,5
the_descendant,know,5,tell,5,find,5,try,3,look,3
cool_air,come,6,hear,6,know,6,see,5,find,4
the_call_of_cthulhu,come,35,know,32,find,29,tell,26,say,21
pickman's_model,know,42,see,23,shew,20,think,19,tell,18
the_silver_key,know,20,find,20,come,11,tell,10,see,10
the_strange_high_house_in_the_mist,come,21,see,15,climb,7,hear,7,grow,7
the_dream-quest_of_unknown_kadath,see,133,know,123,come,107,find,64,tell,58
the_case_of_charles_dexter_ward,come,124,find,123,see,95,know,83,tell,64
the_colour_out_of_space,see,46,come,38,go,30,tell,25,know,24
the_very_old_folk,come,6,hold,5,send,4,accompany,4,scream,4
the_thing_in_the_moonlight,write,4,come,4,awaken,3,howl,3,take,2
the_history_of_the_necronomicon,print,5,say,3,tell,3,exist,3,write,2
ibid,take,4,send,4,find,4,have,4,trade,4
the_dunwich_horror,come,65,know,49,see,35,say,31,think,30
the_whisperer_in_darkness,know,79,come,63,think,58,tell,54,hear,45
at_the_mountains_of_madness,find,70,see,68,come,67,think,52,leave,50
the_shadow_over_innsmouth,see,95,look,69,come,68,know,56,begin,51
the_dreams_in_the_witch_house,see,38,know,33,find,33,come,31,hear,29
the_thing_on_the_doorstep,know,43,see,31,tell,25,go,25,come,23
the_evil_clergyman,know,10,see,10,look,9,begin,6,hear,5
the_book,know,10,read,6,see,6,feel,4,remember,4
the_shadow_out_of_time,know,69,come,62,see,55,find,42,begin,35
the_haunter_of_the_dark,know,14,come,13,feel,8,tell,7,bear,7
